year,Winner,Loser
1989,Seattle SuperSonics (4),Houston Rockets (5)
1989,Chicago Bulls (6),New York Knicks (2)
1989,Detroit Pistons (1),Milwaukee Bucks (5)
1989,Los Angeles Lakers (1),Seattle SuperSonics (4)
1989,Phoenix Suns (3),Golden State Warriors (7)
1989,Detroit Pistons (1),Chicago Bulls (6)
1989,Los Angeles Lakers (1),Phoenix Suns (3)
1989,Detroit Pistons (1),Los Angeles Lakers (1)
1988,Atlanta Hawks (4),Milwaukee Bucks (5)
1988,Boston Celtics (1),New York Knicks (8)
1988,Chicago Bulls (3),Cleveland Cavaliers (6)
1988,Detroit Pistons (2),Washington Bullets (7)
1988,Dallas Mavericks (3),Houston Rockets (6)
1988,Denver Nuggets (2),Seattle SuperSonics (7)
1988,Los Angeles Lakers (1),San Antonio Spurs (8)
1988,Utah Jazz (5),Portland Trail Blazers (4)
1988,Boston Celtics (1),Atlanta Hawks (4)
1988,Detroit Pistons (2),Chicago Bulls (3)
1988,Dallas Mavericks (3),Denver Nuggets (2)
1988,Los Angeles Lakers (1),Utah Jazz (5)
1988,Detroit Pistons (2),Boston Celtics (1)
1988,Los Angeles Lakers (1),Dallas Mavericks (3)
1988,Los Angeles Lakers (1),Detroit Pistons (2)
1987,Atlanta Hawks (2),Indiana Pacers (7)
1987,Boston Celtics (1),Chicago Bulls (8)
1987,Detroit Pistons (3),Washington Bullets (6)
1987,Milwaukee Bucks (4),Philadelphia 76ers (5)
1987,Golden State Warriors (5),Utah Jazz (4)
1987,Houston Rockets (6),Portland Trail Blazers (3)
1987,Los Angeles Lakers (1),Denver Nuggets (8)
1987,Seattle SuperSonics (7),Dallas Mavericks (2)
1987,Boston Celtics (1),Milwaukee Bucks (4)
1987,Detroit Pistons (3),Atlanta Hawks (2)
1987,Los Angeles Lakers (1),Golden State Warriors (5)
1987,Seattle SuperSonics (7),Houston Rockets (6)
1987,Boston Celtics (1),Detroit Pistons (3)
1987,Los Angeles Lakers (1),Seattle SuperSonics (7)
1987,Los Angeles Lakers (1),Boston Celtics (1)
1986,Atlanta Hawks (4),Detroit Pistons (5)
1986,Boston Celtics (1),Chicago Bulls (8)
1986,Milwaukee Bucks (2),New Jersey Nets (7)
1986,Philadelphia 76ers (3),Washington Bullets (6)
1986,Dallas Mavericks (4),Utah Jazz (5)
1986,Denver Nuggets (3),Portland Trail Blazers (6)
1986,Houston Rockets (2),Sacramento Kings (7)
1986,Los Angeles Lakers (1),San Antonio Spurs (8)
1986,Boston Celtics (1),Atlanta Hawks (4)
1986,Milwaukee Bucks (2),Philadelphia 76ers (3)
1986,Houston Rockets (2),Denver Nuggets (3)
1986,Los Angeles Lakers (1),Dallas Mavericks (4)
1986,Boston Celtics (1),Milwaukee Bucks (2)
1986,Houston Rockets (2),Los Angeles Lakers (1)
1986,Boston Celtics (1),Houston Rockets (2)
1985,Boston Celtics (1),Cleveland Cavaliers (8)
1985,Detroit Pistons (4),New Jersey Nets (5)
1985,Milwaukee Bucks (2),Chicago Bulls (7)
1985,Philadelphia 76ers (3),Washington Bullets (6)
1985,Denver Nuggets (2),San Antonio Spurs (7)
1985,Los Angeles Lakers (1),Phoenix Suns (8)
1985,Portland Trail Blazers (5),Dallas Mavericks (4)
1985,Utah Jazz (6),Houston Rockets (3)
1985,Boston Celtics (1),Detroit Pistons (4)
1985,Philadelphia 76ers (3),Milwaukee Bucks (2)
1985,Denver Nuggets (2),Utah Jazz (6)
1985,Los Angeles Lakers (1),Portland Trail Blazers (5)
1985,Boston Celtics (1),Philadelphia 76ers (3)
1985,Los Angeles Lakers (1),Denver Nuggets (2)
1985,Los Angeles Lakers (1),Boston Celtics (1)
1984,Boston Celtics (1),Washington Bullets (8)
1984,Milwaukee Bucks (2),Atlanta Hawks (7)
1984,New Jersey Nets (6),Philadelphia 76ers (3)
1984,New York Knicks (5),Detroit Pistons (4)
1984,Dallas Mavericks (4),Seattle SuperSonics (5)
1984,Los Angeles Lakers (1),Kansas City Kings (8)
1984,Phoenix Suns (6),Portland Trail Blazers (3)
1984,Utah Jazz (2),Denver Nuggets (7)
1984,Boston Celtics (1),New York Knicks (5)
1984,Milwaukee Bucks (2),New Jersey Nets (6)
1984,Los Angeles Lakers (1),Dallas Mavericks (4)
1984,Phoenix Suns (6),Utah Jazz (2)
1984,Boston Celtics (1),Milwaukee Bucks (2)
1984,Los Angeles Lakers (1),Phoenix Suns (6)
1984,Boston Celtics (1),Los Angeles Lakers (1)
1983,Boston Celtics (3),Atlanta Hawks (6)
1983,New York Knicks (5),New Jersey Nets (4)
1983,Denver Nuggets (6),Phoenix Suns (3)
1983,Portland Trail Blazers (5),Seattle SuperSonics (4)
1983,Milwaukee Bucks (2),Boston Celtics (3)
1983,Philadelphia 76ers (1),New York Knicks (5)
1983,Los Angeles Lakers (1),Portland Trail Blazers (5)
1983,San Antonio Spurs (2),Denver Nuggets (6)
1983,Philadelphia 76ers (1),Milwaukee Bucks (2)
1983,Los Angeles Lakers (1),San Antonio Spurs (2)
1983,Philadelphia 76ers (1),Los Angeles Lakers (1)
1982,Philadelphia 76ers (3),Atlanta Hawks (6)
1982,Washington Bullets (5),New Jersey Nets (4)
1982,Phoenix Suns (5),Denver Nuggets (4)
1982,Seattle SuperSonics (3),Houston Rockets (6)
1982,Boston Celtics (1),Washington Bullets (5)
1982,Philadelphia 76ers (3),Milwaukee Bucks (2)
1982,Los Angeles Lakers (1),Phoenix Suns (5)
1982,San Antonio Spurs (2),Seattle SuperSonics (3)
1982,Philadelphia 76ers (3),Boston Celtics (1)
1982,Los Angeles Lakers (1),San Antonio Spurs (2)
1982,Los Angeles Lakers (1),Philadelphia 76ers (3)
1981,Chicago Bulls (5),New York Knicks (4)
1981,Philadelphia 76ers (3),Indiana Pacers (6)
1981,Houston Rockets (6),Los Angeles Lakers (3)
1981,Kansas City Kings (5),Portland Trail Blazers (4)
1981,Boston Celtics (1),Chicago Bulls (5)
1981,Philadelphia 76ers (3),Milwaukee Bucks (2)
1981,Houston Rockets (6),San Antonio Spurs (2)
1981,Kansas City Kings (5),Phoenix Suns (1)
1981,Boston Celtics (1),Philadelphia 76ers (3)
1981,Houston Rockets (6),Kansas City Kings (5)
1981,Boston Celtics (1),Houston Rockets (6)
1980,Houston Rockets (4),San Antonio Spurs (5)
1980,Philadelphia 76ers (3),Washington Bullets (6)
1980,Phoenix Suns (4),Kansas City Kings (5)
1980,Seattle SuperSonics (3),Portland Trail Blazers (6)
1980,Boston Celtics (1),Houston Rockets (4)
1980,Philadelphia 76ers (3),Atlanta Hawks (2)
1980,Los Angeles Lakers (1),Phoenix Suns (4)
1980,Seattle SuperSonics (3),Milwaukee Bucks (2)
1980,Philadelphia 76ers (3),Boston Celtics (1)
1980,Los Angeles Lakers (1),Seattle SuperSonics (3)
1980,Los Angeles Lakers (1),Philadelphia 76ers (3)
1979,Atlanta Hawks (5),Houston Rockets (4)
1979,Philadelphia 76ers (3),New Jersey Nets (6)
1979,Los Angeles Lakers (5),Denver Nuggets (4)
1979,Phoenix Suns (3),Portland Trail Blazers (6)
1979,San Antonio Spurs (2),Philadelphia 76ers (3)
1979,Washington Bullets (1),Atlanta Hawks (5)
1979,Phoenix Suns (3),Kansas City Kings (2)
1979,Seattle SuperSonics (1),Los Angeles Lakers (5)
1979,Washington Bullets (1),San Antonio Spurs (2)
1979,Seattle SuperSonics (1),Phoenix Suns (3)
1979,Seattle SuperSonics (1),Washington Bullets (1)
1978,New York Knicks (5),Cleveland Cavaliers (4)
1978,Washington Bullets (3),Atlanta Hawks (6)
1978,Milwaukee Bucks (6),Phoenix Suns (3)
1978,Seattle SuperSonics (4),Los Angeles Lakers (5)
1978,Philadelphia 76ers (1),New York Knicks (5)
1978,Washington Bullets (3),San Antonio Spurs (2)
1978,Denver Nuggets (2),Milwaukee Bucks (6)
1978,Seattle SuperSonics (4),Portland Trail Blazers (1)
1978,Washington Bullets (3),Philadelphia 76ers (1)
1978,Seattle SuperSonics (4),Denver Nuggets (2)
1978,Washington Bullets (3),Seattle SuperSonics (4)
1977,Boston Celtics (4),San Antonio Spurs (5)
1977,Washington Bullets (3),Cleveland Cavaliers (6)
1977,Golden State Warriors (4),Detroit Pistons (5)
1977,Portland Trail Blazers (3),Chicago Bulls (6)
1977,Houston Rockets (2),Washington Bullets (3)
1977,Philadelphia 76ers (1),Boston Celtics (4)
1977,Los Angeles Lakers (1),Golden State Warriors (4)
1977,Portland Trail Blazers (3),Denver Nuggets (2)
1977,Philadelphia 76ers (1),Houston Rockets (2)
1977,Portland Trail Blazers (3),Los Angeles Lakers (1)
1977,Portland Trail Blazers (3),Philadelphia 76ers (1)
1976,Buffalo Braves (5),Philadelphia 76ers (4)
1976,Detroit Pistons (5),Milwaukee Bucks (4)
1976,Boston Celtics (1),Buffalo Braves (5)
1976,Cleveland Cavaliers (2),Washington Bullets (3)
1976,Golden State Warriors (1),Detroit Pistons (5)
1976,Phoenix Suns (3),Seattle SuperSonics (2)
1976,Boston Celtics (1),Cleveland Cavaliers (2)
1976,Phoenix Suns (3),Golden State Warriors (1)
1976,Boston Celtics (1),Phoenix Suns (3)
