year,Winner,Loser
2004,Detroit Pistons (3),Milwaukee Bucks (6)
2004,Indiana Pacers (1),Boston Celtics (8)
2004,Miami Heat (4),New Orleans Hornets (5)
2004,New Jersey Nets (2),New York Knicks (7)
2004,Los Angeles Lakers (2),Houston Rockets (7)
2004,Minnesota Timberwolves (1),Denver Nuggets (8)
2004,Sacramento Kings (4),Dallas Mavericks (5)
2004,San Antonio Spurs (3),Memphis Grizzlies (6)
2004,Detroit Pistons (3),New Jersey Nets (2)
2004,Indiana Pacers (1),Miami Heat (4)
2004,Los Angeles Lakers (2),San Antonio Spurs (3)
2004,Minnesota Timberwolves (1),Sacramento Kings (4)
2004,Detroit Pistons (3),Indiana Pacers (1)
2004,Los Angeles Lakers (2),Minnesota Timberwolves (1)
2004,Detroit Pistons (3),Los Angeles Lakers (2)
2003,Boston Celtics (6),Indiana Pacers (3)
2003,Detroit Pistons (1),Orlando Magic (8)
2003,New Jersey Nets (2),Milwaukee Bucks (7)
2003,Philadelphia 76ers (4),New Orleans Hornets (5)
2003,Dallas Mavericks (3),Portland Trail Blazers (6)
2003,Los Angeles Lakers (5),Minnesota Timberwolves (4)
2003,Sacramento Kings (2),Utah Jazz (7)
2003,San Antonio Spurs (1),Phoenix Suns (8)
2003,Detroit Pistons (1),Philadelphia 76ers (4)
2003,New Jersey Nets (2),Boston Celtics (6)
2003,Dallas Mavericks (3),Sacramento Kings (2)
2003,San Antonio Spurs (1),Los Angeles Lakers (5)
2003,New Jersey Nets (2),Detroit Pistons (1)
2003,San Antonio Spurs (1),Dallas Mavericks (3)
2003,San Antonio Spurs (1),New Jersey Nets (2)
2002,Boston Celtics (3),Philadelphia 76ers (6)
2002,Charlotte Hornets (4),Orlando Magic (5)
2002,Detroit Pistons (2),Toronto Raptors (7)
2002,New Jersey Nets (1),Indiana Pacers (8)
2002,Dallas Mavericks (4),Minnesota Timberwolves (5)
2002,Los Angeles Lakers (3),Portland Trail Blazers (6)
2002,Sacramento Kings (1),Utah Jazz (8)
2002,San Antonio Spurs (2),Seattle SuperSonics (7)
2002,Boston Celtics (3),Detroit Pistons (2)
2002,New Jersey Nets (1),Charlotte Hornets (4)
2002,Los Angeles Lakers (3),San Antonio Spurs (2)
2002,Sacramento Kings (1),Dallas Mavericks (4)
2002,New Jersey Nets (1),Boston Celtics (3)
2002,Los Angeles Lakers (3),Sacramento Kings (1)
2002,Los Angeles Lakers (3),New Jersey Nets (1)
2001,Charlotte Hornets (6),Miami Heat (3)
2001,Milwaukee Bucks (2),Orlando Magic (7)
2001,Philadelphia 76ers (1),Indiana Pacers (8)
2001,Toronto Raptors (5),New York Knicks (4)
2001,Dallas Mavericks (5),Utah Jazz (4)
